specialty,category,source_row_count,hbp_estimated_cost_inr_low,hbp_estimated_cost_inr_high,hbp_cost_confidence,hbp_cost_source_label,hbp_cost_source_url
Adult Congenital Cardiologist,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
CTVS,Cardiology & Cardiothoracic,3,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
CVTS,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Anaesthesiology,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Anesthesia,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Anesthesiology,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Care,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Catheterisation,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Diagnostics,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Diseases,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Electro Physiologist,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Electro Physiology,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Electrophysiology,Cardiology & Cardiothoracic,2,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Invasive Procedures,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Physiotherapy,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Rehabilitation,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Rehabilitation and Physiotherapy,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Science,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Sciences,Cardiology & Cardiothoracic,2,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Surgeon,Cardiology & Cardiothoracic,2,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac Surgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac and Cardiothoracic Surgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiac and Pulmonary Rehabilitation,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiacsurgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardio Oncology,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardio Thoracic,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardio Thoracic Surgery,Cardiology & Cardiothoracic,2,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardio Thoracic Vascular Surgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardio Thoracic and Vascular Surgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardio Vascular Surgeon,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardio Vascular and Thoracic Surgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiologist,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiology,Cardiology & Cardiothoracic,2,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiology Cardiac Surgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiology Care,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiology ENT,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiology Interventional,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiology Tests,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiology Thrombolysis,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiology and Cardiothoracic Surgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiology and Critical Coronary Care,Cardiology & Cardiothoracic,2,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiology and Electrophysiology,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiology and Interventional Cardiology,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiothoracic,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiothoracic Radiology,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiothoracic Surgeon,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiothoracic Surgery,Cardiology & Cardiothoracic,2,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiothoracic Vascular Surgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiothoracic and Cardiovascular Surgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiovascular Care Services,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiovascular Surgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiovascular Thoracic,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiovascular Thoracic Surgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Cardiovascular and Thoracic Surgery,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Carerisk Management of Heart Disease,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Clinical Cardiologist,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
